Company Name,Stock Name,Filing Time,New Product,Product Description
Insulet Corporation,INTU,2024-07-25T11:08:46-04:00,OmniPod v7 System,Next-generation insulin management system with improved wearability, user experience and glucose tracking capabilities.
Intersect Entertainment Inc.,INTU,2024-05-23T16:01:45-04:00,Echoes of Eternity,A new single-player first-person shooter game
Interoperability Technologies Inc.,INTU,2024-05-02T13:10:32-04:00,Quantum Computing Processor,Advanced quantum computing processor for high-performance computing applications
Intercept Pharmaceuticals Inc.,INTU,2023-11-28T16:05:22-05:00,NIRAPROTM 10MG/2ML Solution for Intravenous Use for Infusion in Adult Patients With Acute Heart Failure, With and Without Cardiorenal Syndrome,for the treatment of acute heart failure
Intuitive Machines,INTU,2023-09-15T16:22:39-04:00,IMMOS,Commercial Lander for Artemis Program
Intuitive Machines Inc.,IMMI,2023-08-24T16:02:31-04:00,Colossus LM-1000 Lunar Lander,A lunar lander system designed for the NASA Artemis program.
Insulet Corporation,MODY,2023-08-14T09:27:05-04:00,OMNIPOD V IQ:2 Pumps and Receivers,Enhanced insulin pump and receiver system for people with diabetes.
Intuit Inc.,INTU,2023-08-02T16:38:21-04:00,Personalized Tax and Benefits Planning,helps clients navigate the 2024 tax season and maximize their benefits
Illumina, Inc.,ILMN,2023-05-23T16:01:21-04:00,i-Series Sequencing System,Next-generation sequencing system for research and clinical applications.
Intercope Inc.,INTU,2023-05-04T16:08:44-04:00,INTELLIBOX 2.0,A new, more advanced version of Intelebox with improved features and functionality.
Intuit Inc.,INTU,2023-02-23T16:04:53-05:00,Quicken Connected,Personal finance app with banking integrations
Intuitive Surgical, Inc.,ISRG,2025-01-23T16:03:01-05:00,Surgify,A new endoscopic system for minimally invasive surgical procedures.
Iris Biotech GmbH,ISRG,2024-10-17T16:02:35-04:00,Bacillus thuringiensis-based insecticide product,A new Bacillus thuringiensis-based insecticide for sustainable crop protection
Intuitive Surgical, Inc.,ISRG,2023-10-31T16:33:05-04:00,da Vinci SP Firefly,A new firefly video technology for better visualization during surgery
Stryker Corporation,SYR,2023-05-16T08:03:37-04:00,Endoscopic Surgery Platform,new endoscopic surgery platform for advanced minimally invasive procedures
IVAX Pharmaceuticals Inc.,IVZ,2025-02-11T16:24:27-05:00,Apothos Oral Solvency Enhancer for Cough Syrup and Suspensions,Enhances the solubility of cough syrup and suspensions
IVAX Corporation,IVZ,2024-09-11T16:49:13-04:00,CEREVUSÂ(R) (mycophenolate mofetil),Cancer Treatment
IVAX Corp.,IVZ,2024-07-10T16:51:24-04:00,Vaccination against COVID-19 variant XBB.1.5.,Novavax, Inc. will begin a phase 3 trial to test the efficacy and safety of its vaccine candidate against the XBB.1.5. strain.
IVZ,IVZ,2024-04-23T07:46:27-04:00,Announced the launch of its new product IVZ 123,IVZ 123 is a cutting-edge AI-powered diagnostic tool for precision medicine.
IVAX Corporation,IVZ,2024-01-23T07:46:58-05:00,Imvax Covid Vaccine Booster for Children,COVID-19 vaccine booster for children aged 5-11
Invivyd Inc.,INVH,2024-09-26T16:31:01-04:00,Vivosol-IV,New UV-C light technology for wound care and skin disinfection
Invista Holdings Corp.,INVH,2024-09-24T16:30:23-04:00,Revolutionary 3D Printing Technology,Advances in printing speed and material options
Invivyd Inc.,INVH,2024-07-24T16:16:33-04:00,Revista 1/2,Low-Dose, Half-Cycle Revista 1/2 Administration Option for Patients Treated with INVIVYD-101 for SCLC
Invista Capital Corporation,INVH,2024-05-17T16:15:25-04:00,PAXXON-X,Nanotechnology-based treatment for rare genetic disorders
Invivyd Inc.,INVH,2024-02-28T16:30:30-05:00,TIV-2101,PFSense 3.0 for the TIV-2101 device
INVH,INVH,2024-02-13T16:15:51-05:00,InVivo Biosciences Announces the Launch of its New Biologics Manufacturing Facility,State-of-the-art facility to support growing demand for biologics therapies
IQV,,IQV,2023-04-18T17:18:26-04:00,IGR-100,First-in-class, fully-integrated, 100mL/5mg/mL IGRT solution for oncology patients.
IQV Biopharma Inc.,IQV,2023-04-17T19:45:21-04:00,Iqvia® COVID-19 Diagnostic Test Kit,A new diagnostic test kit for COVID-19
Insulet Corporation,MTRX,2025-02-13T06:49:25-05:00,OmniPod v3 System with Insulin Pump and Continuous Glucose Monitoring Capability,Enhanced insulin pump and CGM system for diabetes management.
IRM,IRM,2024-12-06T16:09:13-05:00,Smart home automation system,AI-powered smart home automation system
Insight Robotics, Inc.,IRM,2024-05-02T06:47:59-04:00,RobioBot 3.0,Advanced AI-powered industrial robot with increased efficiency and productivity
Interim Reconstruction Management LLC,IRM,2023-08-03T06:58:54-04:00,Residential and commercial reconstruction services for damaged properties due to Hurricane Ida.,Reconstruction and restoration services including debris removal, site preparation, and construction of new structures.
IRM,IRM,2023-07-17T06:43:19-04:00,Oxycodone and Acetaminophen Tablets for Oral Administration,New oral formulation of oxycodone and acetaminophen for pain relief
J.B. Hunt Transport Services, Inc.,JBHT,2024-07-31T16:43:13-04:00,J.B. Hunt 3000,Semi-truck-mounted containerization system for improved efficiency and safety.
Harman International Industries Inc.,HARMAN,2024-04-18T17:21:07-04:00,JBL Flip 5 Wireless Bluetooth Speaker,The JBL Flip 5 is a waterproof, wireless speaker with up to 12 hours of battery life and built-in Amazon Alexa.
JBL Audio LLC,JBL,2023-12-29T08:11:29-05:00,JBL Reflect Hi-Fi 88 Earbuds,Wireless earbuds with advanced noise cancellation and crystal-clear sound
Harman International Industries Inc.,HARM,2023-11-06T17:07:53-05:00,SoundSticks 4,Wireless Bluetooth Speaker
Jelly Belly Inc.,JKHY,2024-10-28T16:40:18-04:00,Sour Jelly Belly Fruit Flavors,New line of sour jelly belly flavors featuring real fruit extracts
Jinko Solar Holding Co., Ltd.,JKHY,2024-05-07T16:21:37-04:00,SolarPanel+2.0,High-efficiency solar panel with improved power output and reduced environmental impact.
JPMorgan Chase & Co.,JPM,2024-08-06T06:38:45-04:00,Chase Pay, a digital wallet service for consumers, will be integrated with Apple Pay and Google Pay,Enhanced mobile payment capabilities
Johnson & Johnson,JNJ,2025-02-26T16:23:21-05:00,Nanocellulose-based wound care products,Advanced nanocellulose technology for enhanced wound healing
Johnson & Johnson,JNJ,2024-04-16T07:06:41-04:00,Evusheld for COVID-19 treatment,Monoclonal antibody therapy
Johnson & Johnson,JNJ,2024-01-23T07:45:37-05:00,Surgilume's NextGen Endovascular System,a new endovascular system for minimally invasive treatment of aortic aneurysms
Johnson & Johnson,JNJ,2023-12-05T16:42:08-05:00,Cortima Bioscience Acquisition,Acquisition of Cortima Bioscience, a company developing novel treatments for rare genetic diseases.
Johnson & Johnson,JCI,2024-08-05T06:55:58-04:00,Ortho Surgical 360° System,A new surgical system for orthopedic procedures, featuring a modular design and enhanced precision.
Jarden Corporation,JCI,2024-05-20T08:42:25-04:00,New product name,New product details
Johnson Controls International Plc,JCI,2024-01-16T09:02:42-05:00,Enhanced battery technology,Improving electric vehicle range and performance
JPMorgan Chase & Co.,JPM,2025-01-27T16:36:36-05:00,JPMorgan Cash Management Platform,Enhanced digital cash management platform for corporate clients
JPMorgan Chase & Co.,JPM,2025-01-24T16:28:50-05:00,JPMorgan Cash Management Services for Cryptocurrency Traders,Enhanced cash management platform designed specifically for cryptocurrency traders.
JPMorgan Chase & Co.,JPM,2025-01-14T12:35:49-05:00,JPMorgan Liquid Funds ETF,A new exchange-traded fund (ETF) investing in a diversified portfolio of liquid funds.
JPMorgan Chase & Co.,JPM,2024-10-17T16:17:14-04:00,Digital Banking Platform,new digital banking platform to enhance online and mobile banking services
JPMorgan Chase & Co.,JPM,2024-09-27T17:04:54-04:00,Chase Mobile Banking App,Enhanced mobile banking app with new features and user interface improvements.
Jio Platforms Limited,JNPR,2024-04-25T16:16:26-04:00,India’s First 5G and 8K Ready Smartphone,Smartphone offering high-speed data capabilities and enhanced video viewing experience
JNPR,JNPR,2023-07-27T16:17:15-04:00,Optical Interconnect Module,High-speed optical interconnect module for data center applications
KLA-Tencor Corporation,KLAC,2024-11-04T06:06:31-05:00,Nanoscale Lithography Systems,High-performance lithography systems
Apple Inc.,AAPL,2024-10-31T08:08:19-04:00,Apple Watch Series 9,Enhanced GPS, ECG, and crash detection features
Kohlberg Kravis Roberts & Co. LP,KKR,2024-10-21T16:14:32-04:00,Kohlberg Kravis Roberts & Co. LP Announces Strategic Acquisition of Healthcare Technology Platform,KKR to acquire majority stake in a leading healthcare technology company
Apple Inc.,AAPL,2024-08-01T08:03:37-04:00,AirPods Pro 3,Next-generation wireless earbuds with improved sound and battery life.
KLA-Tencor Corporation,KLAC,2024-05-02T08:02:36-04:00,Nanoflash Tunable Etching Platform,Enhanced etching capabilities for next-gen semiconductor manufacturing
Kinetica Inc.,KIN,2024-02-22T16:20:32-05:00,Kinetica Visual,Kinetica Visual is a visualization platform for data scientists and analysts, allowing users to create interactive dashboards and visualizations
Karyopharm Therapeutics Inc.,KPTN,2024-02-08T08:06:32-05:00,Apexitin biosimilar for frontotemporal dementia treatment,New biosimilar medication approved by FDA
Kraft Heinz Company,KCH,2024-01-12T08:06:26-05:00,Heinz Ready-to-Drink Coffee,Single-serve, cold brew coffee in 8.4 oz cartons
NVIDIA Corporation,NVDA,2023-11-08T08:02:50-05:00,Ada Lovelace AI Accelerator,New AI accelerator designed for high-performance computing and machine learning applications.
United States Steel Corporation,X,2023-10-02T16:15:41-04:00,Electric Arc Furnace (EAF) technology,Enhanced steel production efficiency
Kinetik BioPharmaceuticals Inc.,KDP,2025-01-13T16:13:35-05:00,KBP-101,Phase 1 clinical trial for treatment of rare genetic disorder
Kraft Heinz Company,KDP,2023-02-28T14:03:09-05:00,Kraft Heinz New Breakfast Product,Enhanced breakfast food options for the growing at-home meal market
Kraft Heinz Company,KDP,2024-10-28T17:25:55-04:00,Kraft Mac Daddy,A new line of mac and cheese products, including a mac Daddy's Deluxe Box and Kraft Mac Daddy's Snack Packs.
Kraft Heinz Company,KDP,2024-10-25T16:07:56-04:00,Kraft Mac & Cheese with new flavors and packaging,Expanded flavor line and eco-friendly packaging
Kraft Heinz Company,KDP,2024-10-24T09:22:08-04:00,Organic Granola Bar,Kraft Heinz announces the launch of its new organic granola bar.
KDeproducts Inc.,KDP,2024-10-24T07:03:11-04:00,Kurbo X3,Intelligent, AI-powered, portable food tracker for kids.
KDepot Inc.,KDP,2024-09-12T16:34:12-04:00,KDP Fresh,new line of organic snacks
KDP,KDP,2024-07-25T07:04:36-04:00,Mystic 3.0 Gaming Chair,Revolutionary gaming chair with enhanced ergonomics and advanced cooling system.
Kraft Heinz Company,KDP,2024-05-15T16:32:20-04:00,Planters Brand Smiles Fruit Snacks,New flavors of Planters Brand Smiles Fruit Snacks, including a pineapple and apple flavor combination.
Kraft Heinz Co.,KDP,2024-03-07T16:38:54-05:00,Kraft Mac and Cheese Meal Kit,Convenient, at-home meal kit version of Kraft macaroni & cheese
Sarett Inc.,SRRT,2024-09-09T08:15:56-04:00,MAGNIFY X2 Eye Care Solution,A revolutionary new eye care solution with advanced magnification and cleaning technology for enhanced vision clarity.
BioNTech SE,BNTX,2024-08-30T16:14:04-04:00,Biovac vaccine candidate,Biovac's H5N1 vaccine candidate in human clinical trials
Tesla, Inc.,TSLA,2022-01-25T14:05:41-05:00,Full Self-Driving (FSD) Capability,Enhanced Autopilot system
Tesla, Inc.,TSLA,2024-04-18T06:36:06-04:00, Full Self-Driving (FSD) 3.0 Software Update,Enhanced Autopilot features and improved navigation system
Apple Inc.,AAPL,2022-09-12T15:04:00-04:00,iPhone 14 Pro Max,Next-generation iPhone with improved camera and A16 Bionic chip
Shopify Inc.,SHOP,2024-01-18T06:49:16-05:00,Shopify Plus for E-commerce on Amazon,Enhanced platform for Amazon sellers, offering advanced features and improved performance.
Apple Inc.,AAPL,2023-03-01T16:09:23-05:00,Reality Pro AR Glasses,Next-generation augmented reality glasses with advanced display and eye-tracking technology
Keurig Dr Pepper,KDP,2024-11-19T16:06:36-05:00,Keurig My K-Cup 2.0,Enhanced coffee brewing technology and larger k-cup size
XYZ Inc.,XYZI,2024-11-04T16:11:39-05:00,NeoGenX - A Novel Cancer Treatment,A breakthrough therapy for aggressive breast cancer
Tesla, Inc.,TSLA,2024-10-09T16:06:53-04:00,Full Self-Driving Capability 2.0,Enhanced Autopilot technology for improved safety and convenience.
Company A Inc.,ABC,2024-05-20T16:06:12-04:00,Smartwatch,New wearable device with advanced health monitoring and mobile payments capabilities
Cypress Semiconductor Corporation,CYSC,2024-02-20T16:06:56-05:00,Nimbus-3 Non-Volatile Memory (NVM) Technology,A new NVM technology for 5G and automotive applications
Tesla, Inc.,TSLA,2023-03-17T16:17:33-04:00,Full Self-Driving Capability (FSD) 4.0,Enhanced Autopilot system with improved navigation and predictive safety features.
Amgen Inc.,AMGN,2022-11-17T16:08:54-05:00,Oleogne for Psoriasis,New treatment option for moderate to severe psoriasis
Tesla Inc.,TSLA,2022-08-17T16:07:08-04:00,Cybertruck,Updated Cybertruck design and capabilities
Kraft Heinz Company,KMB,2023-02-16T10:00:00-05:00,Kraft Heinz Kitchens Smart Pantry,smart kitchen pantry solution with automated inventory management and meal planning capabilities
Kimco Realty Corporation,KIM,2025-02-07T06:53:50-05:00,Ethereal 2.0,A new line of eco-friendly home furnishings
Kimco Realty Corp.,KIM,2024-05-02T07:11:22-04:00,Apartment Community,First new apartment community in over 20 years
Kinder Morgan, Inc.,KMI,2024-11-07T17:35:07-05:00,Energy Transition Solutions,A suite of energy transition products to support customers in decarbonizing their operations
Kinder Morgan, Inc.,KMI,2024-04-17T16:09:49-04:00,New Pipeline Construction Project,Construction of new natural gas pipeline and related infrastructure.
KLA-Tencor Corporation,KLAC,2023-11-07T15:30:00-05:00,Nanometer-Scale Metrology System,A new nanometer-scale metrology system for 3D device manufacturing.
Kilchberg Life Sciences AG,KLAC,2024-12-03T07:00:31-05:00,Biothera's Pivotal Phase 3 Study Demonstrates Superiority of KLI-009 Over Existing Treatments for Neurodegenerative Diseases,A new treatment option for patients with neurodegenerative diseases
KLA-Tencor Corporation,KLAC,2024-11-08T16:15:57-05:00,Nanolithography Technology,New nanolithography technology for advanced semiconductor manufacturing.
KLA-Tencor Corporation,KLAC,2024-09-20T16:05:54-04:00,Nanonexus 3D X-Ray Lithography System,A next-generation, wafer-scale x-ray lithography system
KLA-Tencor Corporation,KLAC,2024-09-03T16:30:57-04:00,Patterning Systems Technology (PST) for Advanced Packaging and 3D NAND Flash Memory,Enhanced patterning capabilities to improve manufacturing yields in advanced packaging and 3D NAND flash memory applications
KLA-Tencor Corporation,KLAC,2024-04-25T16:14:27-04:00,Nanotube-based semiconductor technologies,Nanotube-based semiconductor technologies for advanced computing and sensing applications
KLA-Tencor Corporation,KLAC,2024-02-08T07:41:29-05:00,Nanotechnology-based solutions for 3D stacked architectures,Enhanced reliability and performance in advanced computing applications
KLA-Tencor Corporation,KLAC,2023-11-03T16:06:04-04:00,Nova2,High-performance transistor technology
Krispy Kreme Doughnuts, Inc.,DKS,2025-02-25T16:05:19-05:00,Krispy Kreme Original Glazed with a Twist of Orange Zest,A new variant of the classic Krispy Kreme doughnut featuring an orange zest twist
KFC Corporation,KHC,2024-10-28T16:11:33-04:00,Original Recipe Chicken Sandwich,New Original Recipe Chicken Sandwich featuring the classic KFC chicken recipe on a brioche bun.
Kraft Heinz Company,KHC,2024-09-27T16:37:01-04:00,Kraft Heinz to Launch New Plant-Based Deli Range,A new line of plant-based deli options, including vegan sausages and cold cuts.
Kraft Heinz Company,KHC,2024-07-31T07:03:46-04:00,Heinz Ketchup in a Squeeze Bottle with a Built-in Pulp Removal System,Makes it easy to remove pulp from ketchup bottles
Kraft Heinz Company,KHC,2024-05-08T16:50:56-04:00,Popeyes® Fried Chicken and Biscuits with a new menu item,Popeyes® Fried Chicken and Biscuits with a new sandwich offering
Kraft Heinz Company,KHC,2024-04-17T17:31:47-04:00,Heinz Ketchup in a new sustainable packaging format,new eco-friendly packaging for Heinz ketchup
Kraft Heinz Company,KHC,2024-02-22T16:06:13-05:00,Crafted in Home Meal Solutions,New line of craftable meal solutions for home cooks.
Kraft Heinz Company,KHC,2023-08-02T07:05:43-04:00,New Kashi Soft Baked Granola Bars,New Kashi Soft Baked Granola Bars
Koch Industries, Inc.,KR,2024-12-06T08:39:27-05:00,Renewable Energy Solutions for Homes and Businesses,New line of renewable energy products for homes and businesses, including solar panels and energy storage systems.
Korean Air Lines Co., Ltd.,KRW,2024-12-05T08:07:51-05:00,A350-900ULR variant,Enhanced range and comfort capabilities
Korean Air Lines Co., Ltd.,KR,2024-11-13T07:57:04-05:00,A350 XWB-900neo,Commercial aircraft engine upgrade
Kraft Heinz Company,KR,2024-10-15T08:36:38-04:00,Planters Peanut Butter Sandwiches with Honey,New peanut butter sandwich with honey, made from natural ingredients
LHX,LHX,2024-03-14T16:31:07-04:00,ViziCore Smart Glasses,Augmented reality glasses with advanced health monitoring and AI-powered insights
LH,LH,2024-10-10T06:58:48-04:00,Air Taxi Service,Launch of new air taxi service offering on-demand air travel, expanding our network and improving passenger experience.
LRCX,LRCX,2025-01-29T16:07:49-05:00,Nanocellulose Product Line,Expansion of cellulose-based product line with enhanced performance characteristics
LRCX,ARCA BIOTECH HOLDING CORP,2024-11-07T16:06:25-05:00,Trio Therapeutics Acquisition,Acquisition of Trio Therapeutics, a biotechnology company.
NVIDIA Corporation,NVDA,2023-08-24T14:05:00-04:00,Ada Lovelace 900,Artificial intelligence computing platform
LW,LW,2024-05-08T12:24:28-04:00,NeuroPulse,A novel, non-invasive brain-computer interface technology for neurological disorder diagnosis and treatment.
LW,LW,2023-07-25T08:40:21-04:00,Doxycycline Hyclate Oral Suspension 50mg/5mL,A new oral suspension of doxycycline hyclate for the treatment of Acne Rosacea.
LVS Holdings, Inc.,LVS,2025-02-24T08:38:31-05:00,Viva 2.0 Smartwatch,A revolutionary smartwatch with advanced health monitoring features and seamless gaming integration
Las Vegas Sands Corp,LVS,2024-04-17T16:08:51-04:00,The Venetian Resort Hotel Casino Macau Expansion,expansion project
Linklogics Inc.,LDOS,2025-02-20T16:15:32-05:00,Veloce - a cloud-based security platform designed to detect and prevent AI-powered attacks,Cloud-based security solution for detecting and preventing AI-powered cyber threats
Lithium Corporation,LDOS,2024-10-28T19:23:03-04:00,Neutron Shielding Technology,Enhanced protection for nuclear reactors and facilities.
Lockheed Martin Corporation,LDOS,2024-10-25T16:35:34-04:00,Mid-Band Radar System for 5G and Beyond,A new mid-band radar system designed to support 5G and future wireless communication technologies
Langan Oil & Gas Limited,LDOS,2024-09-18T16:20:22-04:00,Lagan 2013 Development Project,Upgrade of gas processing capacity
Luminous Dynamics Inc.,LDOS,2024-07-29T17:55:54-04:00,NeuroCore Brain Stimulation System,A non-invasive brain stimulation system designed for neurological disorders and cognitive enhancement.
Lion Electric Inc.,LDOS,2024-04-29T16:18:09-04:00,NextGen All-Electric Heavy-Duty Truck,an all-electric heavy-duty truck that is designed to operate in a variety of environments and meet the demands of the growing e-commerce industry.
Lidean Biosciences Inc.,LDOS,2024-01-17T16:37:42-05:00,CirroX-9000, a non-invasive, point-of-care diagnostic platform for respiratory infections,non-invasive, point-of-care diagnostic platform
Luminus Biosciences Inc.,LDOS,2023-11-01T17:41:56-04:00,ZENBAC 2.0,Gene therapy treatment for rare genetic diseases.
Luminex Holdings Inc.,LDOS,2023-06-01T16:28:42-04:00,Nanosep FZP+ 48 well plate,A new, innovative nanoseparation technology for separating proteins and other molecules.
Lennox International Inc.,LEN,2025-03-20T17:15:20-04:00,iHandy Pure HEPA Air Purifier,A new air purifier designed to capture 99.97% of particles as small as 0.3 microns.
Lenovo Group Limited,LENOV,2025-01-15T16:15:18-05:00,ThinkPad X1 Fold Gen 4,A 13-inch, flexible, and foldable laptop
Lenovo Group Limited,LEN,2024-12-18T16:33:39-05:00,ThinkPad X1 Carbon (10th Gen),Ultra-light 14-inch laptop with 12th Gen Intel Core i7 processor, up to 32GB RAM and 2TB SSD storage
Lennar Corporation,LEN,2024-06-24T16:30:31-04:00,EcoModern Smart Home Solutions,Integration of smart home technology into Lennar's EcoModern communities
Lithium Extraction Technology Inc.,LEN,2024-06-17T16:31:36-04:00,LenPure - A New, Advanced Lithium Extraction Technology,Enhanced efficiency and purity in lithium extraction
Lennox International Inc.,LEN,2024-03-13T16:34:51-04:00,iComfort IQ Smart Sleep System,Enhanced sleep technology and AI-powered insights
Lenovo Group Ltd.,LEN,2023-10-26T16:05:31-04:00,ThinkPad X1 Carbon Gen 12,Thin and lightweight laptop with enhanced performance and battery life
Lenovo Group Limited,LEN,2023-07-28T16:22:01-04:00,ThinkPad X1 Carbon Gen 10, Ultrabook with 14-inch OLED display, up to 18 hours of battery life
Lennar Corporation,LEN,2023-07-14T16:56:23-04:00,LenSmart 2.0,An AI-powered home management platform
Johnson & Johnson,JNJ,2025-02-12T15:28:48-05:00,Evolva Corporation's EVL-999 for Treatment of Attention Deficit Hyperactivity Disorder (ADHD),A novel, injectable medication
Pfizer Inc.,PFE,2023-12-05T14:00:00-05:00,Myocardium Infarction Treatment Therapy,New treatment therapy for myocardium infarction
Regeneron Pharmaceuticals, Inc.,REGN,2024-11-19T16:49:17-05:00, REGNexIVTM (brolucizumab-gusovumab, a monotherapy and combination therapy),,a monoclonal antibody for the treatment of geographic atrophy in dry age-related macular degeneration.
Lilly,LLY,2024-09-09T07:03:46-04:00,Bamlanivimab/Bamipimab Combo Therapy,Data from the BLISS-31 Phase 3 clinical trial in adults with mild-to-moderate COVID-19 showed that bamlanivimab/bamipimab combo therapy significantly reduced hospitalization and death from COVID-19 compared to placebo.
Eli Lilly and Company,LLY,2024-08-16T16:16:48-04:00,Bamlanivimab/dexamethasone combo therapy for COVID-19 hospitalization prevention,For patients with COVID-19 at risk of progression to severe disease.
Pfizer Inc.,PFE,2024-08-14T12:27:03-04:00,Eliquis Biosimilars Candidate,A biosimilar version of Eliquis, an anticoagulant treatment for atrial fibrillation and stroke prevention.
Pfizer Inc.,PFE,2024-07-10T08:40:20-04:00,Bemteracept,New treatment option for adult patients with moderate to severe ulcerative colitis.
Eli Lilly and Company,LLY,2024-06-05T07:48:12-04:00,emaltriazemab,monoclonal antibody for the treatment of certain patients with advanced ovarian cancer
Pfizer Inc.,PFE,2024-05-09T16:34:08-04:00,Anemia Treatment,New anemia treatment for hemoglobinopathy patients.
Lilly,LLY,2023-08-08T07:01:37-04:00,Bamlanivimab and Etesentide,A novel dual therapy for type 2 diabetes
Eli Lilly and Company,LLY,2023-05-04T16:33:56-04:00,Bamlanivimab/olanzapine combo,For treatment of COVID-19 induced psychosis in adults with a history of psychotic disorders.
Regeneron Pharmaceuticals, Inc.,REGN,2023-04-27T07:02:50-04:00, REGN-COV2, COVID-19 antibody treatment regimen
LINCO LLC,LIN,2024-10-31T06:06:02-04:00,Evolv,A new line of all-in-one, AI-powered home security systems
Lincoln National Corporation,LIN,2024-08-02T17:09:24-04:00,ElderPlan,A new, innovative long-term care insurance product designed to help individuals plan for the costs of aging.
L3Harris Technologies Inc.,LHX,2024-02-28T09:22:45-05:00,Multi-Mission Radar System,Enhanced radar system for military and civil applications
LINcoln National Corporation,LNC,2024-02-06T11:48:04-05:00,LifeGuard 2.0,A digital life insurance platform designed to provide more affordable and flexible coverage options.
LINCO LLC,LIN,2023-10-26T06:31:40-04:00,LINX-5000,A new portable energy storage unit
Linamar Corporation,LIN,2023-07-27T06:18:41-04:00,Linamar to Offer Smart Glass for Electric Vehicle Market,A smart glass technology that reduces solar heat gain and improves visibility in EVs
Lyndy Inc.,LYV,2023-11-17T16:24:55-05:00,Lumina Platform 2.0,Enhanced cybersecurity and AI-powered threat detection features
CureMatch, Inc.,CURM,2022-01-06T17:12:00-05:00,Pancreatic Cancer Test,Artificial intelligence-powered diagnostic test for pancreatic cancer.
LinkUp Inc.,LYV,2023-10-02T16:15:42-04:00,Lyft Connect,A new feature that connects riders with trusted and vetted transportation providers.
Lyndy Inc.,LYV,2023-06-15T17:17:24-04:00,Luminate Pro 4K,Portable, high-brightness portable projector.
LyondellBasell Industries N.V.,LYV,2023-01-12T21:58:50-05:00,LyondellBasell's new 1,4-Cyclohexadiene monomer plant,Enhanced production capacity for polyamide resins
LKQ Corporation,LKQ,2024-12-13T17:01:32-05:00,LKQ Intelligent Garage Door Opener,A smart garage door opener with Wi-Fi connectivity and mobile app control
LKQ Corporation,LKQ,2024-12-11T08:16:40-05:00,Elevate Auto Parts,Expansion of online auto parts platform
LKQ Corporation,LKQ,2024-11-06T11:04:56-05:00,DuraCoat Paint Refresher Spray for Automotive Paints,A water-based refresher spray to restore the showroom shine of auto paints.
LKQ Corporation,LKQ,2024-07-01T09:02:54-04:00,LKQ Corporation Announces Launch of LKQ Select,Online marketplace connecting customers with local used auto parts stores.
Lukas Holdings Corp.,LKQ,2024-06-24T09:13:16-04:00,Cannabis Extracted from Hemp Flowers for Human Use,Cannabis extracted from hemp flowers in a range of products to address various human use applications.
LKQ Corporation,LKQ,2024-05-10T12:29:37-04:00,LKQ's new mobile app for auto body repair estimation and inventory management,Enhanced digital tools to improve customer experience and operational efficiency
Lukas Healthcare Corporation,LKQ,2024-03-08T14:25:40-05:00,EasyClean II,Advanced diagnostic imaging solution for early disease detection.
LMT Inc.,LMT,2024-12-11T16:31:07-05:00,Windstar 100,New Windstar 100 Turbine Design
Lockheed Martin Corporation,LMT,2024-04-23T07:31:37-04:00,Aegis Air and Missile Defense System, upgrades to Aegis Combat System
Lockheed Martin Corporation,LMT,2024-01-23T07:34:45-05:00,Missile Defense Radar System,A new missile defense radar system designed to detect and track ballistic missiles.
LAMAR ADVERTISING COMPANY INC,LAMO,2025-02-10T06:11:13-05:00,New digital signage solutions,Digital signage solutions to enhance customer experience
Lowe's Companies, Inc.,LOW,2024-11-04T06:16:39-05:00,Smart Bin Smart Home,A smart home storage solution
Lumen Technologies, Inc.,LUN,2024-09-18T16:40:22-04:00,EdgeConnect 10G,EdgeConnect 10G is a 10-Gigabit Ethernet solution for high-performance edge computing applications.
LAM Research Corporation,LANH,2024-07-29T06:01:45-04:00,PicoZ,High-end lithography equipment
L3Hsonics Holdings, Inc.,LIH,2024-01-16T17:06:48-05:00,Soft-Sensor Technology for Military Applications,Advanced sensor technology designed to enhance the situational awareness of military vehicles.
LAMAR Advertising Company,LAMR,2023-09-19T11:34:23-04:00,Enhanced Digital Billboard Offering,A new digital billboard offering designed to provide improved ad engagement and better customer experience
Lilly,LLY,2023-07-31T06:48:34-04:00,Truodenyashvili for Injection, USP (Buprenorphine Sublingual Film 2mg) ,for the treatment of opioid use disorder
Apple Inc.,AAPL,2023-05-10T12:29:01-04:00,AirPower 2.0 wireless charging pad,Fast wireless charging for Apple devices
Lam Research Corporation,LRCX,2023-05-01T06:49:14-04:00,Nanotech Platform for Advanced Semiconductors,Enhanced manufacturing technology for next-generation chips.
L3HSONIC COMMUNICATIONS INC,LNK,2022-11-08T12:37:24-05:00,Airborne Communication System,Next-generation communication system for military and civilian use.
Lowe's Companies, Inc.,LOW,2024-11-19T08:45:50-05:00,ProSource by Lowe’s,A new line of home improvement products and services designed for DIY enthusiasts.
LOW,LOW,2024-08-20T08:45:21-04:00,Vivos X5,new smartwatch
Lowe's Companies, Inc.,LOW,2024-05-21T08:45:37-04:00,Project Bin,Smart home automation solution
LOWEXPO Inc.,LOWXPO,2023-10-25T16:32:14-04:00,LOEWEXPO,Luminous LED lamps for home and office spaces.
Low's Co.,LOW,2023-05-23T08:45:30-04:00,Smart Bike Helmet,A cutting-edge smart bike helmet featuring advanced safety features and real-time traffic updates.
Chewy Inc.,CHWY,2024-12-05T16:11:50-05:00,Furry Pals Dog Beds,Soft, plush dog beds for pets
Lululemon Athletica Inc.,LULU,2024-06-12T16:16:11-04:00,Smart Bra,A smart, high-performance sports bra for women that tracks fitness activities and provides real-time feedback.
